MonthYear,Station,Station_Type,Entry_Exit,Trip
2024-10-01 00:00:00.000,Medlow Bath  Station,Train,Entry,1006
2024-10-01 00:00:00.000,Medlow Bath  Station,Train,Exit,878
2024-10-01 00:00:00.000,Menangle  Station,Train,Entry,324
2024-10-01 00:00:00.000,Menangle  Station,Train,Exit,302
2024-10-01 00:00:00.000,Menangle Park  Station,Train,Entry,407
2024-10-01 00:00:00.000,Menangle Park  Station,Train,Exit,398
2024-10-01 00:00:00.000,Merrylands  Station,Train,Entry,155143
2024-10-01 00:00:00.000,Merrylands  Station,Train,Exit,151062
2024-10-01 00:00:00.000,Metford  Station,Train,Entry,1915
2024-10-01 00:00:00.000,Metford  Station,Train,Exit,1766
2024-10-01 00:00:00.000,Milsons Point  Station,Train,Entry,189168
2024-10-01 00:00:00.000,Milsons Point  Station,Train,Exit,199826
2024-10-01 00:00:00.000,Mindaribba  Station,Train,Entry,Less than 50
2024-10-01 00:00:00.000,Mindaribba  Station,Train,Exit,Less than 50
2024-10-01 00:00:00.000,Minnamurra  Station,Train,Entry,2491
2024-10-01 00:00:00.000,Minnamurra  Station,Train,Exit,2249
2024-10-01 00:00:00.000,Minto  Station,Train,Entry,69559
2024-10-01 00:00:00.000,Minto  Station,Train,Exit,66779
2024-10-01 00:00:00.000,Miranda  Station,Train,Entry,87069
2024-10-01 00:00:00.000,Miranda  Station,Train,Exit,89762
2024-10-01 00:00:00.000,Mittagong  Station,Train,Entry,4170
2024-10-01 00:00:00.000,Mittagong  Station,Train,Exit,3754
2024-10-01 00:00:00.000,Morisset  Station,Train,Entry,17864
2024-10-01 00:00:00.000,Morisset  Station,Train,Exit,16219
2024-10-01 00:00:00.000,Mortdale  Station,Train,Entry,80640
2024-10-01 00:00:00.000,Mortdale  Station,Train,Exit,73597
2024-10-01 00:00:00.000,Moss Vale  Station,Train,Entry,4166
2024-10-01 00:00:00.000,Moss Vale  Station,Train,Exit,3787
2024-10-01 00:00:00.000,Mount Colah  Station,Train,Entry,14224
2024-10-01 00:00:00.000,Mount Colah  Station,Train,Exit,12767
2024-10-01 00:00:00.000,Mount Druitt  Station,Train,Entry,156186
2024-10-01 00:00:00.000,Mount Druitt  Station,Train,Exit,154516
2024-10-01 00:00:00.000,Mount Kuring-gai  Station,Train,Entry,5462
2024-10-01 00:00:00.000,Mount Kuring-gai  Station,Train,Exit,5394
2024-10-01 00:00:00.000,Mount Victoria  Station,Train,Entry,2722
2024-10-01 00:00:00.000,Mount Victoria  Station,Train,Exit,2650
2024-10-01 00:00:00.000,Mulgrave  Station,Train,Entry,6539
2024-10-01 00:00:00.000,Mulgrave  Station,Train,Exit,6126
2024-10-01 00:00:00.000,Museum  Station,Train,Entry,238780
2024-10-01 00:00:00.000,Museum  Station,Train,Exit,266589
2024-10-01 00:00:00.000,Muswellbrook  Station,Train,Entry,642
2024-10-01 00:00:00.000,Muswellbrook  Station,Train,Exit,507
2024-10-01 00:00:00.000,Narara  Station,Train,Entry,5257
2024-10-01 00:00:00.000,Narara  Station,Train,Exit,4604
2024-10-01 00:00:00.000,Narwee  Station,Train,Entry,44765
2024-10-01 00:00:00.000,Narwee  Station,Train,Exit,40702
2024-10-01 00:00:00.000,Newcastle Interchange Station,Train,Entry,46847
2024-10-01 00:00:00.000,Newcastle Interchange Station,Train,Exit,47147
2024-10-01 00:00:00.000,Newtown  Station,Train,Entry,239551
2024-10-01 00:00:00.000,Newtown  Station,Train,Exit,272517
2024-10-01 00:00:00.000,Niagara Park  Station,Train,Entry,2443
2024-10-01 00:00:00.000,Niagara Park  Station,Train,Exit,2354
2024-10-01 00:00:00.000,Normanhurst  Station,Train,Entry,26786
2024-10-01 00:00:00.000,Normanhurst  Station,Train,Exit,21692
2024-10-01 00:00:00.000,North Ryde  Station,Metro,Entry,86582
2024-10-01 00:00:00.000,North Ryde  Station,Metro,Exit,85875
2024-10-01 00:00:00.000,North Strathfield  Station,Train,Entry,64269
2024-10-01 00:00:00.000,North Strathfield  Station,Train,Exit,63210
2024-10-01 00:00:00.000,North Sydney  Station,Train,Entry,288559
2024-10-01 00:00:00.000,North Sydney  Station,Train,Exit,306935
2024-10-01 00:00:00.000,North Wollongong  Station,Train,Entry,32659
2024-10-01 00:00:00.000,North Wollongong  Station,Train,Exit,31856
2024-10-01 00:00:00.000,Norwest  Station,Metro,Entry,73868
2024-10-01 00:00:00.000,Norwest  Station,Metro,Exit,72629
2024-10-01 00:00:00.000,Oak Flats  Station,Train,Entry,9282
2024-10-01 00:00:00.000,Oak Flats  Station,Train,Exit,8415
2024-10-01 00:00:00.000,Oatley  Station,Train,Entry,44427
2024-10-01 00:00:00.000,Oatley  Station,Train,Exit,41636
2024-10-01 00:00:00.000,Olympic Park  Station,Train,Entry,97160
2024-10-01 00:00:00.000,Olympic Park  Station,Train,Exit,130364
2024-10-01 00:00:00.000,Otford  Station,Train,Entry,1014
2024-10-01 00:00:00.000,Otford  Station,Train,Exit,1056
2024-10-01 00:00:00.000,Ourimbah  Station,Train,Entry,4218
2024-10-01 00:00:00.000,Ourimbah  Station,Train,Exit,4048
2024-10-01 00:00:00.000,Padstow  Station,Train,Entry,65535
2024-10-01 00:00:00.000,Padstow  Station,Train,Exit,61086
2024-10-01 00:00:00.000,Panania  Station,Train,Entry,39282
2024-10-01 00:00:00.000,Panania  Station,Train,Exit,36651
2024-10-01 00:00:00.000,Parramatta  Station,Train,Entry,1024871
