Station,Entry_Exit,Trip,Month,Year
St Peters Station,Exit,63356,10,2024
Stanmore Station,Entry,71694,10,2024
Stanmore Station,Exit,66665,10,2024
Strathfield Station,Entry,682864,10,2024
Strathfield Station,Exit,661033,10,2024
Summer Hill Station,Entry,81147,10,2024
Summer Hill Station,Exit,75769,10,2024
Sutherland Station,Entry,161496,10,2024
Sutherland Station,Exit,158565,10,2024
Sydenham Station,Entry,513095,10,2024
Sydenham Station,Exit,493034,10,2024
Tempe Station,Entry,34790,10,2024
Tempe Station,Exit,32974,10,2024
Thornleigh Station,Entry,39022,10,2024
Thornleigh Station,Exit,37746,10,2024
Toongabbie Station,Entry,70288,10,2024
Toongabbie Station,Exit,66597,10,2024
Town Hall Station,Entry,1952476,10,2024
Town Hall Station,Exit,1843632,10,2024
Turramurra Station,Entry,85857,10,2024
Turramurra Station,Exit,82553,10,2024
Turrella Station,Entry,27440,10,2024
Turrella Station,Exit,25183,10,2024
Villawood Station,Entry,12175,10,2024
Villawood Station,Exit,11735,10,2024
Vineyard Station,Entry,3938,10,2024
Vineyard Station,Exit,3697,10,2024
Wahroonga Station,Entry,43208,10,2024
Wahroonga Station,Exit,41492,10,2024
Waitara Station,Entry,67732,10,2024
Waitara Station,Exit,64679,10,2024
Warrawee Station,Entry,20251,10,2024
Warrawee Station,Exit,18512,10,2024
Warwick Farm Station,Entry,60292,10,2024
Warwick Farm Station,Exit,54423,10,2024
Waterfall Station,Entry,9616,10,2024
Waterfall Station,Exit,9800,10,2024
Waverton Station,Entry,46699,10,2024
Waverton Station,Exit,41402,10,2024
Wentworthville Station,Entry,96060,10,2024
Wentworthville Station,Exit,91754,10,2024
Werrington Station,Entry,30581,10,2024
Werrington Station,Exit,27299,10,2024
West Ryde Station,Entry,116013,10,2024
West Ryde Station,Exit,115443,10,2024
Westmead Station,Entry,166292,10,2024
Westmead Station,Exit,154737,10,2024
Windsor Station,Entry,17351,10,2024
Windsor Station,Exit,16926,10,2024
Wolli Creek Station,Entry,233447,10,2024
Wolli Creek Station,Exit,231665,10,2024
Wollstonecraft Station,Entry,49773,10,2024
Wollstonecraft Station,Exit,45662,10,2024
Woolooware Station,Entry,28086,10,2024
Woolooware Station,Exit,26520,10,2024
Wynyard Station,Entry,1208006,10,2024
Wynyard Station,Exit,1269883,10,2024
Yagoona Station,Entry,9891,10,2024
Yagoona Station,Exit,9058,10,2024
Yennora Station,Entry,27898,10,2024
Yennora Station,Exit,28131,10,2024
Allawah Station,Entry,61103,11,2024
Allawah Station,Exit,55064,11,2024
Arncliffe Station,Entry,58465,11,2024
Arncliffe Station,Exit,52697,11,2024
Artarmon Station,Entry,101996,11,2024
Artarmon Station,Exit,95886,11,2024
Ashfield Station,Entry,264606,11,2024
Ashfield Station,Exit,262657,11,2024
Asquith Station,Entry,29018,11,2024
Asquith Station,Exit,25898,11,2024
Auburn Station,Entry,373393,11,2024
Auburn Station,Exit,357053,11,2024
Banksia Station,Entry,35627,11,2024
Banksia Station,Exit,32430,11,2024
Bankstown Station,Entry,102823,11,2024
Bankstown Station,Exit,107392,11,2024
